Lab Name ,Faculty Incharge,Department Name,Block Name,Floor Number 
IBM Center of Excellence for Information Management,Dr. T. Chandrakumar,Applied Mathematics and Computational Science,IT Block,0
Business Analytics Lab,Dr. R. Sivanesan,Applied Mathematics and Computational Science,IT Block,2
Cloud Systems Laboratory,"Dr.S.Padmavathi

Mrs.S.Thiruchadai Pandeeswari

Dr.K.R.Premlatha

Mr.D.Nirmal Sahayaraj (Lab Technician)",Information Technology,IT Block,1
Data Analytics Lab,"Dr. A.M.Abirami
Dr. C Jeyamala
Mrs.S.Sujitha",Information Technology ,IT Block,2
DST-CSRI - Cognitive Science Lab,"Dr.D.Tamilselvi
Dr.K.V.UMA
Ms.P.Vijayapraba",Information Technology,IT Block,1
Honeywell IoT Product Development Lab,"C.V.Nisha Angeline – Lab in Charge
S. Pudumalar- Member
Dr.G.Vennila",Information Technology,IT Block,1
Mobile Application Development studio,"Dr.S.Ilankumaran
Ms.R.Parkavi
Dr.M.Akila Rani",Information Technology,IT Block,2
Machine Learning Laboratory,"Dr.C. Deisy
Dr.S. Sridevi
Ms. T. Saranya
Ms. S. Sangeetha (Lab Technician)",Information Technology,IT Block,1
Motorola - Enterprise Mobility Lab,"Dr.S.Muthuramalingam
Dr.P.Karthikeyan
Mr.P.Manojkumar",Information Technology,IT Block,1
Database Systems Lab,Prof. R. Saraswathi Meena,Applied Mathematics and Computational Science,AMCS Block,1
Cyber Forensic Lab,"Dr.S.Vijayalakshmi, Professor
R.Ganapathikrishnan, Lab Technician",Computer Applications,IT Block,1
Agile Lab,Ms. R. Subhashni,Computer Science and Business Systems,IT Block,3
Blockchain Lab,Dr. P. Suganthi,Computer Science and Business Systems,IT Block,3
Smart and Secure Environment Lab,Mr. T. Siva,Computer Science and Business Systems,IT Block,0
Staff Room 1,"Dr. J. Felicia Lilian, Dr. S. Karthiga",Computer Science and Business Systems,IT Block,3
CSBS Staff Room,"Ms. Priya Thiagarajan, Mrs. A. Indirani, Ms. T. Suba Nachiar",Computer Science and Business Systems,IT Block,3
Department of Computer Application,"Dr. P. Chitra, Mr. V. Janakiraman",Computer Science and Business Systems,IT Block,0
Cyber Forensic Lab,,Computer Science and Business Systems,IT Block,1
MCA Staff Room,Mrs. D. Yuvasini,Computer Science and Business Systems,IT Block,0
Integrated Business Application,Mr. M. Gowtham Sethupathi,Computer Science and Business Systems,IT Block,3
IG1,-,Information Technology,IT Block,0
IG2,-,Information Technology,IT Block,0
IG3,-,Information Technology,IT Block,0
IG4,-,Information Technology,IT Block,0
IG5,-,Information Technology,IT Block,0
IG6,-,Applied Mathematics and Computational Science,IT Block,0
IG7,-,Applied Mathematics and Computational Science,IT Block,0
IG8,-,Applied Mathematics and Computational Science,IT Block,0
